EXP 1														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
42	10499.6	0.83171	2.26827	1.11634	0.88437	0.84461	0.92298	0.72919	0.90791	2.18694	1.43935	0.000870577	0.000870577	0.000870577
43	10769.3	0.82904	2.24358	1.12575	0.86051	0.85795	0.91817	0.73493	0.86809	2.13713	1.41184	0.000712282	0.000712282	0.000712282
44	11052.3	0.81555	2.19612	1.11331	0.89086	0.84285	0.9103	0.72472	0.87823	2.1292	1.41507	0.000571106	0.000571106	0.000571106
45	11335.8	0.81342	2.16815	1.11178	0.87541	0.84945	0.92118	0.73214	0.85561	2.11713	1.40646	0.000447606	0.000447606	0.000447606
46	11620.1	0.80732	2.15519	1.11382	0.87366	0.85987	0.92248	0.73868	0.86253	2.0954	1.40528	0.00034227	0.00034227	0.00034227
47	11906.4	0.80734	2.13573	1.10048	0.89481	0.84215	0.91721	0.74012	0.8389	2.09253	1.39471	0.000255513	0.000255513	0.000255513
48	12189.7	0.80351	2.10585	1.1108	0.8836	0.84637	0.91166	0.72848	0.87293	2.11523	1.42836	0.000187678	0.000187678	0.000187678
49	12473.4	0.79701	2.09246	1.09885	0.87501	0.84912	0.91145	0.73323	0.83617	2.08379	1.37774	0.000139032	0.000139032	0.000139032
50	12758.4	0.79292	2.07938	1.10202	0.88133	0.84332	0.91052	0.73487	0.83576	2.09592	1.38935	0.000109768	0.000109768	0.000109768
														
EXP 2														
epoch	time	train/box_loss	train/cls_loss	train/dfl_loss	metrics/precision(B)	metrics/recall(B)	metrics/mAP50(B)	metrics/mAP50-95(B)	val/box_loss	val/cls_loss	val/dfl_loss	lr/pg0	lr/pg1	lr/pg2
1	314.7	2.62706	12.1341	2.22154	0.38302	0.19244	0.12328	0.06559	1.99514	13.5866	2.2164	0.0670405	0.000332924	0.000332924
2	609.004	1.77125	7.88774	1.59986	0.47492	0.26978	0.28404	0.1753	1.55378	7.11554	1.82666	0.0340399	0.000665606	0.000665606
3	889.135	1.61595	6.55718	1.46745	0.58211	0.38039	0.41654	0.23176	1.55762	6.74469	1.89952	0.00103664	0.000995689	0.000995689
4	1173.16	1.50918	5.83606	1.41851	0.61882	0.39755	0.4944	0.34864	1.24373	5.19505	1.62596	0.000991232	0.000991232	0.000991232
5	1459.34	1.44619	5.26449	1.37636	0.59949	0.56377	0.64075	0.43203	1.27457	4.31203	1.6092	0.000984449	0.000984449	0.000984449
6	1746.34	1.39682	4.78435	1.34072	0.52176	0.60318	0.60986	0.41741	1.30144	4.49084	1.63615	0.000975773	0.000975773	0.000975773
7	2028.59	1.36225	4.42884	1.32109	0.67724	0.55773	0.66977	0.4761	1.22481	4.13219	1.6107	0.000965239	0.000965239	0.000965239
8	2312.2	1.3223	4.19263	1.30401	0.61821	0.68822	0.73864	0.53185	1.19025	3.91449	1.56369	0.000952889	0.000952889	0.000952889
